src,dst,src_title,dst_title,src_score,dst_score,topic_id,similarity_raw,ora_match,similarity,jaccard_distance,ora_rescued,edge_source,cross_topic,shared_ora_codes_text
60892922,60906739,Merge statement issue - error unable to get a stable set of rows in the source tables,Update statement error - Remove any non-deterministic where clauses and reissue the dml,0,0,68,0.7236842105263158,true,0.8236842105263158,0.2763157894736842,true,ora_cross_topic_rescue,true,ora-30926
63518526,63522576,issue on creating package,Warning: Package Body created with compilation errors...in plsql,-1,0,113,0.7037037037037037,true,0.8037037037037037,0.2962962962962963,true,ora_cross_topic_rescue,true,ora-04063
63518526,63522576,issue on creating package,Warning: Package Body created with compilation errors...in plsql,-1,0,113,0.7037037037037037,true,0.8037037037037037,0.2962962962962963,true,ora_cross_topic_rescue,true,ora-06508
19713546,19771746,Connect to external OLEDB data source from Oracle,Oracle DBlink works for ODBC but not for OLEDB,1,1,142,0.5625,true,0.6625,0.4375,true,ora_cross_topic_rescue,true,ora-28545
19713546,19771746,Connect to external OLEDB data source from Oracle,Oracle DBlink works for ODBC but not for OLEDB,1,1,142,0.5625,true,0.6625,0.4375,true,ora_cross_topic_rescue,true,ora-02063
49284558,8424456,"why do i keep getting this error \" Error report - ORA-00906: missing left parenthesis 00906. 00000 - \"","SQL Error: ORA-00906: missing left parenthesis 00906. 00000 - \"missing left parenthesis\"",0,2,110,0.5,true,0.6,0.5,true,ora_cross_topic_rescue,true,ora-00906
