src,dst,src_title,dst_title,src_score,dst_score,topic_id,similarity_raw,ora_match,similarity,jaccard_distance,ora_rescued,edge_source,cross_topic,shared_ora_codes_text
52080769,61044368,oracle pl/sql utl_file ORA-29280: invalid directory path,oracle pl/sql utl_file ORA-29280: invalid directory path and ORA-29280: invalid directory object,0,0,27,0.875,true,0.975,0.125,true,ora_cross_topic_rescue,true,ora-29280
60892922,60906739,Merge statement issue - error unable to get a stable set of rows in the source tables,Update statement error - Remove any non-deterministic where clauses and reissue the dml,0,0,0,0.7236842105263158,true,0.8236842105263158,0.2763157894736842,true,ora_cross_topic_rescue,true,ora-30926
49284558,8424456,"why do i keep getting this error \" Error report - ORA-00906: missing left parenthesis 00906. 00000 - \"","SQL Error: ORA-00906: missing left parenthesis 00906. 00000 - \"missing left parenthesis\"",0,2,36,0.5,true,0.6,0.5,true,ora_cross_topic_rescue,true,ora-00906
