topic_id,doc_count,pair_count,elapsed_seconds,status
76,25645,5,3.780490337871015,ok
35,12876,7,0.8093388681299984,ok
77,5464,0,0.7056650537997484,ok
89,5260,2,0.7369505581445992,ok
37,4848,0,0.6246109087951481,ok
36,4682,1,0.7985484558157623,ok
41,4153,1,0.582446382381022,ok
46,3939,1,0.6079932418651879,ok
8,3597,1,0.5580227859318256,ok
42,3157,0,0.561997018288821,ok
110,2410,0,0.5658470280468464,ok
81,2259,1,0.7844630642794073,ok
79,2131,1,0.542570561170578,ok
45,2001,0,0.535797169432044,ok
67,1949,0,0.5336997462436557,ok
38,1852,1,0.46748294634744525,ok
87,1799,3,0.45054814917966723,ok
63,1723,0,0.4589958502911031,ok
104,1646,0,0.4753738408908248,ok
107,1621,1,0.6045660409145057,ok
61,1612,0,0.4516259375959635,ok
109,1584,0,0.4411374079063535,ok
149,1562,0,0.4436659892089665,ok
52,1503,2,0.4266119892708957,ok
115,1475,1,0.5388078782707453,ok
114,1447,0,0.41576653020456433,ok
6,1411,0,0.6141558210365474,ok
65,1400,0,0.41519708978012204,ok
44,1325,0,0.41293005691841245,ok
113,1270,1,0.47607299964874983,ok
82,1249,0,0.4067544271238148,ok
49,1244,0,0.5050589381717145,ok
22,1205,0,0.5090532768517733,ok
7,1186,0,0.4587063486687839,ok
40,1183,0,0.458123579621315,ok
112,1178,1,0.46400004206225276,ok
78,1128,0,0.46748667815700173,ok
116,1105,0,0.4517782786861062,ok
86,1073,0,0.46642928617075086,ok
62,1007,0,0.5128996027633548,ok
80,894,0,0.45438653137534857,ok
5,884,0,0.4518275116570294,ok
127,835,0,0.4411537302657962,ok
88,783,0,0.43063643015921116,ok
85,774,0,0.4254931421019137,ok
53,766,0,0.41156250378116965,ok
94,746,0,0.4181006411090493,ok
111,718,1,0.5054058507084846,ok
106,714,0,0.41603749990463257,ok
90,712,0,0.4129334739409387,ok
60,710,0,0.4147147433832288,ok
18,705,0,0.412121516186744,ok
117,686,0,0.40653419913724065,ok
48,685,0,0.4223350561223924,ok
51,677,0,0.416979162953794,ok
23,669,0,0.42205747310072184,ok
43,656,0,0.4175010179169476,ok
96,629,0,0.3949707131832838,ok
66,594,0,0.4161097016185522,ok
83,587,0,0.49009524984285235,ok
84,579,0,0.3662999039515853,ok
139,566,0,0.4133075550198555,ok
59,565,1,0.41721415100619197,ok
39,547,0,0.41909574903547764,ok
138,533,0,0.40563782677054405,ok
3,454,0,0.4016321706585586,ok
47,450,0,0.4154051090590656,ok
4,450,2,0.4020505710504949,ok
102,429,0,0.40512149268761277,ok
29,423,1,0.40161709021776915,ok
70,378,0,0.4167991988360882,ok
14,377,0,0.4116276800632477,ok
34,370,0,0.36711271200329065,ok
58,357,0,0.41220362298190594,ok
105,356,0,0.4162539690732956,ok
125,355,0,0.4484386588446796,ok
9,337,0,0.38108205795288086,ok
26,336,0,0.4039186742156744,ok
0,324,0,0.4103636620566249,ok
57,311,0,0.3666514540091157,ok
50,303,0,0.40825996082276106,ok
73,301,0,0.4029398178681731,ok
30,297,0,0.36718993820250034,ok
19,297,0,0.4016519421711564,ok
140,295,0,0.42665127385407686,ok
2,294,0,0.3878692979924381,ok
129,284,0,0.41085858596488833,ok
91,272,0,0.3507315772585571,ok
71,269,0,0.3927406328730285,ok
24,267,0,0.40341835422441363,ok
108,261,1,0.3877604347653687,ok
134,244,0,0.40536267682909966,ok
103,244,0,0.42168039083480835,ok
101,241,0,0.3603535592556,ok
55,227,0,0.4071619068272412,ok
21,211,0,0.3647832293063402,ok
135,210,0,0.4137484482489526,ok
141,205,0,0.4716299376450479,ok
148,205,1,0.40439307037740946,ok
75,200,0,0.4015673748217523,ok
143,195,0,0.36850311886519194,ok
122,194,0,0.4190089008770883,ok
64,193,0,0.3900525909848511,ok
15,192,0,0.4007639307528734,ok
1,191,0,0.3525375700555742,ok
27,181,0,0.3966360748745501,ok
20,178,0,0.4138367963023484,ok
95,177,0,0.4077599160373211,ok
33,175,0,0.4056503176689148,ok
136,173,0,0.4028199892491102,ok
137,168,0,0.42596962908282876,ok
56,162,0,0.39044972509145737,ok
25,157,0,0.42104878230020404,ok
123,153,0,0.39909025793895125,ok
147,152,0,0.4240343049168587,ok
142,145,0,0.4106966587714851,ok
98,136,0,0.36022506188601255,ok
72,129,0,0.4061637851409614,ok
54,128,0,0.3539614421315491,ok
124,126,0,0.40794904390349984,ok
74,114,0,0.35422199172899127,ok
126,113,0,0.41067319130524993,ok
16,112,1,0.35484833689406514,ok
146,106,0,0.4253300819545984,ok
128,104,0,0.35133948689326644,ok
12,103,0,0.38692156970500946,ok
13,95,0,0.37408471340313554,ok
118,94,0,0.42377333575859666,ok
121,91,0,0.35916119115427136,ok
99,86,0,0.44967262214049697,ok
132,85,0,0.3554673488251865,ok
68,83,0,0.3598398109897971,ok
119,72,0,0.39236323721706867,ok
97,72,0,0.3495550970546901,ok
133,71,0,0.38549092691391706,ok
100,70,0,0.34817178128287196,ok
28,69,0,0.3929479862563312,ok
69,68,0,0.3537502372637391,ok
10,68,0,0.3571838936768472,ok
17,67,0,0.39807993499562144,ok
92,66,0,0.35980498092249036,ok
93,64,0,0.39413610100746155,ok
11,61,0,0.35677452804520726,ok
31,55,0,0.3574610878713429,ok
130,51,0,0.4018021449446678,ok
120,47,0,0.3594351317733526,ok
144,46,0,0.3973404071293771,ok
32,46,0,0.34549315413460135,ok
131,34,0,0.3572797649540007,ok
145,33,0,0.3837749930098653,ok
